Date/Time,Suction Pressure (Bar Gauge without Atmospheric pressure),Suction Flow (Nominal m3/hr),Suction Temperature (oC),Dischrage PreG1e without Atmospheric pressure),Discharge Flow (Nominal m3/hr),Discharge Temperature (oC),Gear Box Output Shaft Drive End (DE) X Vibration (μm),Gear Box Output Shaft Drive End (DE) Y Vibration (μm),Gear Box Output Shaft Non Drive End (NDE) X Vibration (μm),Gear Box Output Shaft Non Drive End (NDE) Y Vibration (μm),Gear Box Input Shaft Non Drive End (NDE) X Vibration (μm),Gear Box Input Shaft Drive End (NDE) Y Vibration (μm),Gear Box Input Shaft Drive End (DE) X Vibration (μm),Gear Box Input Shaft Drive End (DE) Y Vibration (μm),Suction Vibration in x,Suction Vibration in y,Discharge Vibration in x,Discharge Vibration in y,Compressor speed (RPM)
,\\GHOCPIMSAPP1\RWS50PZ3948,\\GHOCPIMSAPP1\RWS50FI3950,\\GHOCPIMSAPP1\RWS50TZ3903,\\GHOCPIMSAPP1\RWS50PI3941,\\GHOCPIMSAPP1\RWS50FZ3956A,\\GHOCPIMSAPP1\RWS50TZ3957A,\\GHOCPIMSAPP1\RWS50VI7306X,\\GHOCPIMSAPP1\RWS50VI7306Y,\\GHOCPIMSAPP1\RWS50VI7311X,\\GHOCPIMSAPP1\RWS50VI7311Y,\\GHOCPIMSAPP1\RWS50VI7312X,\\GHOCPIMSAPP1\RWS50VI7312Y,\\GHOCPIMSAPP1\RWS50VI7325X,\\GHOCPIMSAPP1\RWS50VI7325Y,\\GHOCPIMSAPP1\RWS50VI7337X,\\GHOCPIMSAPP1\RWS50VI7337Y,\\GHOCPIMSAPP1\RWS50VI7338X,\\GHOCPIMSAPP1\RWS50VI7338Y,RWS50SI7305
11/7/20 12:00 AM,5.2,26812.4,28.5,7.4,27878.0,55.2,3.0,4.0,5.0,6.8,6.6,6.6,6.9,7.4,9.7274189,10.20423508,7.16674614,9.235712051,8164.449219
11/7/20 12:20 AM,5.2,26836.2,28.4,7.4,27783.2,55.2,3.0,4.0,5.1,7.0,6.7,6.54,6.8,7.5,9.721112251,10.2095356,7.135930538,9.235712051,8161.888184
11/7/20 12:40 AM,5.2,26856.7,28.3,7.4,27865.3,55.2,3.1,4.0,5.3,7.3,6.7,6.46,5.7,7.4,9.714804649,10.21483517,7.10511446,9.17810154,8162.304688
11/7/20 1:00 AM,5.2,26800.2,28.2,7.4,27844.7,55.2,3.1,4.0,5.1,7.1,6.8,6.49,7.6,7.4,9.708497047,10.22013569,7.074298382,9.116688728,8315.385742
11/7/20 1:20 AM,5.2,26852.4,28.1,7.4,27841.9,55.3,3.1,4.2,5.0,6.7,6.7,6.61,7.6,7.5,9.702189445,10.22543526,7.043482304,9.139558792,8217.386719
11/7/20 1:40 AM,5.2,26865.0,28.1,7.4,27841.9,55.3,3.1,4.2,5.0,6.6,6.5,6.62,5.8,7.5,9.695881844,10.23073578,7.012666702,9.149432182,8148.561523
11/7/20 2:00 AM,5.2,26883.5,28.1,7.4,27932.5,55.3,3.1,4.1,5.0,6.6,6.6,6.62,7.8,7.5,9.689575195,10.2360363,6.981850624,9.159305573,8147.065918
11/7/20 2:20 AM,5.2,26813.5,28.1,7.4,27810.3,55.3,3.1,4.1,5.0,6.8,6.7,6.62,6.4,7.4,9.683267593,10.24133587,6.951034546,9.169179916,8148.134277
11/7/20 2:40 AM,5.2,26806.8,28.2,7.4,27768.6,55.4,3.1,4.1,5.0,7.1,6.8,6.63,5.8,7.3,9.676959991,10.24663639,6.920218468,9.179053307,8147.244141
